g2(0): T&A;220,083763
g2(0): T&B;167,548935
g2(0): T&A&B;0,0110620423
Counts: T;1434110,00
Counts: A;727257,000
Counts: B;748330,000
Counts: T&A;80339,0000
Counts: T&B;62934,0000
Counts: T&A&B;39,0000000
Capture Duration (s);20,0000000
Rates (Hz): T;71705,5000
Rates (Hz): A;36362,8500
Rates (Hz): B;37416,5000
Rates (Hz): T&A;4016,95000
Rates (Hz): T&B;3146,70000
Rates (Hz): T&A&B;1,95000000
